id	name	kegg_id	origin	weight
HMDB00124	Fructose 6-phosphate	C00085	Endogenous	260.029718526
HMDB00126	Glycerol 3-phosphate	C00093	Endogenous	172.013674532
HMDB00128	Guanidoacetic acid	C00581	Endogenous	117.053826483
HMDB00130	Homogentisic acid	C00544	Endogenous	168.042258744
HMDB00131	Glycerol	C00116	Endogenous	92.047344122
HMDB00132	Guanine	C00242	Endogenous	151.049409807
HMDB00133	Guanosine	C00387	Endogenous	283.091668551
HMDB00134	Fumaric acid	C00122	Endogenous	116.010958616
HMDB00138	Glycocholic acid	C01921	Endogenous	465.309038113
HMDB00139	Glyceric acid	C00258	Endogenous	106.02660868
HMDB00140	Glucosylceramide	C01190	Endogenous	811.690118957
HMDB00143	D-Galactose	C00984	Endogenous	180.063388116
HMDB00148	L-Glutamic acid	C00025	Endogenous	147.053157781
HMDB00149	Ethanolamine	C00189	Endogenous	61.052763851
HMDB00150	Gluconolactone	C00198	Endogenous	178.047738052
HMDB00152	Gentisic acid	C00628	Endogenous	154.02660868
HMDB00156	L-Malic acid	C00149	Endogenous	134.021523302
HMDB00158	L-Tyrosine	C00082	Endogenous	181.073893223
HMDB00161	L-Alanine	C00041	Endogenous	89.047678473
HMDB00164	Methylamine	C00218	Endogenous	31.042199165
HMDB00168	L-Asparagine	C00152	Endogenous	132.053492132
HMDB00169	D-Mannose	C00159	Endogenous	180.063388116
HMDB00174	L-Fucose	C01019	Endogenous	164.068473494
HMDB00175	Inosinic acid	C00130	Endogenous	348.047099924
HMDB00176	Maleic acid	C01384	Endogenous	116.010958616
HMDB00181	L-Dopa	C00355	Endogenous	197.068807845
HMDB00186	Alpha-Lactose	C00243	Endogenous	342.116211546
HMDB00187	L-Serine	C00065	Endogenous	105.042593095
HMDB00189	Inosine triphosphate	C00081	Endogenous	507.979760744
HMDB00190	L-Lactic acid	C00186	Endogenous	90.031694058
HMDB00191	L-Aspartic acid	C00049	Endogenous	133.037507717
HMDB00192	L-Cystine	C00491	Endogenous	240.023848262
HMDB00193	Isocitric acid	C00311	Endogenous	192.02700261
HMDB00194	Anserine	C01262	Endogenous	240.122240398
HMDB00201	L-Acetylcarnitine	C02571	Endogenous	203.115758037
HMDB00202	Methylmalonic acid	C02170	Endogenous	118.02660868
HMDB00205	Phenylpyruvic acid	C00166	Endogenous	164.047344122
HMDB00206	N6-Acetyl-L-lysine	C02727	Endogenous	188.116092388
HMDB00207	Oleic acid	C00712	Endogenous	282.255880332
HMDB00208	Oxoglutaric acid	C00026	Endogenous	146.021523302
HMDB00209	Phenylacetic acid	C07086	Endogenous	136.0524295
HMDB00211	Myoinositol	C00137	Endogenous	180.063388116
HMDB00212	N-Acetylgalactosamine	C01074	Endogenous	221.089937217
HMDB00213	Myo-inositol 1-phosphate	C04006	Endogenous	260.029718526
HMDB00214	Ornithine	C00077	Endogenous	132.089877638
HMDB00216	Norepinephrine	C00547	Endogenous	169.073893223
HMDB00217	NADP	C00006	Endogenous	744.083277073
HMDB00218	Orotidylic acid	C01103	Endogenous	368.02569578
HMDB00220	Palmitic acid	C00249	Endogenous	256.240230268
HMDB00221	NADPH	C00005	Endogenous	745.091102105
HMDB00222	L-Palmitoylcarnitine	C02990	Endogenous	399.334858933
HMDB00223	Oxalacetic acid	C00036	Endogenous	132.005873238
HMDB00224	O-Phosphoethanolamine	C00346	Endogenous	141.019094261
HMDB00225	Oxoadipic acid	C00322	Endogenous	160.037173366
HMDB00226	Orotic acid	C00295	Endogenous	156.017106626
HMDB00227	Mevalonic acid	C00418	Endogenous	148.073558872
HMDB00229	Nicotinamide ribotide	C00455	Endogenous	334.056601978
HMDB00230	N-Acetylneuraminic acid	C19910	Endogenous	309.105981211
HMDB00232	Quinolinic acid	C03722	Endogenous	167.021857653
HMDB00234	Testosterone	C00535	Endogenous	288.20893014
HMDB00238	Sepiapterin	C00835	Endogenous	237.086189243
HMDB00239	Pyridoxine	C00314	Endogenous	169.073893223
HMDB00240	Sulfite	C00094	Endogenous	79.956814556
HMDB00241	Protoporphyrin IX	C02191	Endogenous	562.258005596
HMDB00243	Pyruvic acid	C00022	Endogenous	88.016043994
HMDB00245	Porphobilinogen	C00931	Endogenous	226.095356946
HMDB00246	Tetrahydrofuran	NA	Endogenous	72.057514878
HMDB00247	Sorbitol	C00794	Endogenous	182.07903818
HMDB00248	Thyroxine	C01829	Endogenous	776.686681525
HMDB00250	Pyrophosphate	C00013	Endogenous	173.911925378
HMDB00251	Taurine	C00245	Endogenous	125.014663785
HMDB00252	Sphingosine	C00319	Endogenous	299.282429433
HMDB00253	Pregnenolone	C01953	Endogenous	316.240230268
HMDB00254	Succinic acid	C00042	Endogenous	118.02660868
HMDB00256	Squalene	C00751	Endogenous	410.3912516
HMDB00257	Thiosulfate	C00320	Endogenous	111.928885246
HMDB00259	Serotonin	C00780	Endogenous	176.094963016
HMDB00262	Thymine	C00178	Endogenous	126.042927446
HMDB00263	Phosphoenolpyruvic acid	C00074	Endogenous	167.982374404
HMDB00265	Liothyronine	C02465	Endogenous	650.790038137
HMDB00267	Pyroglutamic acid	C01879	Endogenous	129.042593095
HMDB00268	Tetrahydrocorticosterone	C05476	Endogenous	350.245709576
HMDB00269	Sphinganine	C00836	Endogenous	301.298079497
HMDB00271	Sarcosine	C00213	Endogenous	89.047678473
HMDB00272	Phosphoserine	C01005	Endogenous	185.008923505
HMDB00273	Thymidine	C00214	Endogenous	242.090271568
HMDB00277	Sphingosine 1-phosphate	C06124	Endogenous	379.248759843
HMDB00279	Saccharopine	C00449	Endogenous	276.132136382
HMDB00280	Phosphoribosyl pyrophosphate	C00119	Endogenous	389.95181466
HMDB00283	D-Ribose	C00121	Endogenous	150.05282343
HMDB00285	Uridine triphosphate	C00075	Endogenous	483.968527356
HMDB00286	Uridine diphosphate glucose	C00029	Endogenous	566.055020376
HMDB00288	Uridine 5'-monophosphate	C00105	Endogenous	324.035866536
HMDB00290	Uridine diphosphate-N-acetylglucosamine	C00043	Endogenous	607.081569477
HMDB00291	Vanillylmandelic acid	C05584	Endogenous	198.05282343
HMDB00293	Xanthosine 5-triphosphate	C00700	Endogenous	523.974675366
HMDB00294	Urea	C00086	Endogenous	60.03236276
HMDB00295	Uridine 5'-diphosphate	C00015	Endogenous	404.002196946
HMDB00296	Uridine	C00299	Endogenous	244.069536126
HMDB00299	Xanthosine	C01762	Endogenous	284.075684136
HMDB00300	Uracil	C00106	Endogenous	112.027277382
HMDB00301	Urocanic acid	C00785	Endogenous	138.042927446
HMDB00302	Uridine diphosphategalactose	C00052	Endogenous	566.055020376
HMDB00303	Tryptamine	C00398	Endogenous	160.100048394
HMDB00304	Uridine diphosphate-N-acetylgalactosamine	C00203	Endogenous	607.081569477
HMDB00306	Tyramine	C00483	Endogenous	137.084063979
HMDB00307	1b-Hydroxycholic acid	NA	Endogenous	424.282489012
HMDB00308	3b-Hydroxy-5-cholenoic acid	NA	Endogenous	374.282095082
HMDB00309	3a,16b-Dihydroxyandrostenone	NA	Endogenous	304.203844762
HMDB00310	Methylacetoacetic acid	NA	Endogenous	116.047344122
HMDB00311	3b,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid	NA	Endogenous	424.282489012
HMDB00312	3a,7a,12b-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00313	16b-Hydroxyestrone	C05300	Endogenous	286.15689457
HMDB00314	3b-Allotetrahydrocortisol	NA	Endogenous	366.240624198
HMDB00315	16-a-Hydroxypregnenolone	C06390	Endogenous	332.23514489
HMDB00316	2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid	NA	Endogenous	424.282489012
HMDB00317	2-Hydroxy-3-methylpentanoic acid	NA	Endogenous	132.07864425
HMDB00318	3,4-Dihydroxyphenylglycol	C05576	Endogenous	170.057908808
HMDB00319	18-Hydroxycorticosterone	C01124	Endogenous	362.20932407
HMDB00320	3a,4b,7a-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00321	2-Hydroxyadipic acid	C02360	Endogenous	162.05282343
HMDB00322	16-Oxoandrostenediol	NA	Endogenous	304.203844762
HMDB00323	3-Amino-2-piperidone	NA	Endogenous	114.079312952
HMDB00324	3a,16a-Dihydroxyandrostenone	NA	Endogenous	304.203844762
HMDB00325	3-Hydroxysuberic acid	NA	Endogenous	190.084123558
HMDB00326	1b,3a,12a-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00328	12-Ketodeoxycholic acid	NA	Endogenous	390.277009704
HMDB00329	2-Phenylbutyric acid	NA	Endogenous	164.083729628
HMDB00330	3a,4b,12a-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00331	3a,7b,12a-Trihydroxyoxocholanyl-Glycine	NA	Endogenous	465.309038113
HMDB00332	18-Oxocortisol	NA	Endogenous	376.188588628
HMDB00333	Isohomovanillic acid	NA	Endogenous	182.057908808
HMDB00335	16a-Hydroxyestrone	C05300	Endogenous	286.15689457
HMDB00336	(R)-3-Hydroxyisobutyric acid	NA	Endogenous	104.047344122
HMDB00337	(S)-3,4-Dihydroxybutyric acid	NA	Endogenous	120.042258744
HMDB00338	2-Hydroxyestradiol	C05301	Endogenous	288.172544634
HMDB00339	2-Methylbutyrylglycine	NA	Endogenous	159.089543287
HMDB00340	3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid	NA	Endogenous	424.282489012
HMDB00341	2-Octenedioic acid	NA	Endogenous	172.073558872
HMDB00343	2-Hydroxyestrone	C05298	Endogenous	286.15689457
HMDB00344	2-Methoxyestradiol-3-methylether	NA	Endogenous	316.203844762
HMDB00345	3-Hydroxyadipic acid	NA	Endogenous	162.05282343
HMDB00346	3-Deoxyarabinohexonic acid	NA	Endogenous	180.063388116
HMDB00347	16b-Hydroxyestradiol	NA	Endogenous	288.172544634
HMDB00348	3b,12a-Dihydroxy-5a-cholanoic acid	NA	Endogenous	392.292659768
HMDB00349	Erythrono-1,4-lactone	NA	Endogenous	118.02660868
HMDB00350	3-Hydroxysebacic acid	NA	Endogenous	218.115423686
HMDB00351	3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid	NA	Endogenous	118.062994186
HMDB00352	16a-Hydroxydehydroisoandrosterone	C05139	Endogenous	304.203844762
HMDB00353	3b,15b,17a-Trihydroxy-pregnenone	NA	Endogenous	348.230059512
HMDB00354	2-Methyl-3-hydroxybutyric acid	NA	Endogenous	118.062994186
HMDB00355	3-Hydroxymethylglutaric acid	C03761	Endogenous	162.05282343
HMDB00356	17-Epiestriol	NA	Endogenous	288.172544634
HMDB00357	3-Hydroxybutyric acid	C01089	Endogenous	104.047344122
HMDB00359	3a,7a-Dihydroxycoprostanic acid	NA	Endogenous	434.33960996
HMDB00360	2,4-Dihydroxybutanoic acid	NA	Endogenous	120.042258744
HMDB00361	3b,7a-Dihydroxy-5b-cholanoic acid	C17660	Endogenous	392.292659768
HMDB00362	2-Phosphoglyceric acid	NA	Endogenous	185.99293909
HMDB00363	17a-Hydroxypregnenolone	C05138	Endogenous	332.23514489
HMDB00364	3a,6a,7b-Trihydroxy-5b-cholanoic acid	C17727	Endogenous	408.28757439
HMDB00365	Epiandrosterone	C07635	Endogenous	290.224580204
HMDB00366	2-Deoxyribonic acid	NA	Endogenous	150.05282343
HMDB00367	3a,6b,7b,12a-Tetrahydroxy-5b-cholanoic acid	NA	Endogenous	424.282489012
HMDB00368	2(R)-Hydroxyadipic acid	NA	Endogenous	162.05282343
HMDB00369	3b,17b-Dihydroxyetiocholane	NA	Endogenous	292.240230268
HMDB00370	2-Amino-3-phosphonopropionic acid	C05672	Endogenous	169.014008883
HMDB00371	1,3,12-Trihydroxycholan-24-oic acid	NA	Endogenous	408.28757439
HMDB00372	16-Oxoestrone	C14441	Endogenous	284.141244506
HMDB00374	17-Hydroxyprogesterone	C01176	Endogenous	330.219494826
HMDB00376	3b,7a,12a-Trihydroxy-5a-Cholanoic acid	NA	Endogenous	408.28757439
HMDB00377	3a,6b,7b,12b-Tetrahydroxy-5b-cholanoic acid	NA	Endogenous	424.282489012
HMDB00378	2-Methylbutyroylcarnitine	NA	Endogenous	245.162708229
HMDB00379	2-Methylcitric acid	NA	Endogenous	206.042652674
HMDB00380	2-Hydroxyestradiol-3-methyl ether	NA	Endogenous	302.188194698
HMDB00381	Allolithocholic acid	NA	Endogenous	376.297745146
HMDB00382	3b,17a,21-Trihydroxypregnenone	NA	Endogenous	348.230059512
HMDB00383	3a,17a-Dihydroxy-5b-androstane	C07632	Endogenous	292.240230268
HMDB00384	3a,7a-Dihydroxycholanoic acid	NA	Endogenous	392.292659768
HMDB00385	12a-Hydroxy-3-oxocholadienic acid	NA	Endogenous	386.245709576
HMDB00386	3b,16a-Dihydroxyandrostenone sulfate	NA	Endogenous	384.160659318
HMDB00387	3-Hydroxydodecanoic acid	NA	Endogenous	216.172544634
HMDB00388	3a,16-Dihydroxyandrostenone	NA	Endogenous	304.203844762
HMDB00389	2'-Deoxysepiapterin	NA	Endogenous	221.091274621
HMDB00390	3a,7b,12b-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00391	7-Ketodeoxycholic acid	NA	Endogenous	406.271924326
HMDB00392	2-Octenoic acid	NA	Endogenous	142.099379692
HMDB00393	3-Hexenedioic acid	NA	Endogenous	144.042258744
HMDB00394	3-Hydroxytetradecanedioic acid	NA	Endogenous	274.178023942
HMDB00395	3b,7b,12a-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00396	2-Ethylhydracrylic acid	NA	Endogenous	118.062994186
HMDB00397	2-Pyrocatechuic acid	C00196	Endogenous	154.02660868
HMDB00398	3-Oxoadipic acid	C00846	Endogenous	160.037173366
HMDB00399	3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid	NA	Endogenous	424.282489012
HMDB00400	3,7-Dihydroxy-12-oxocholanoic acid	NA	Endogenous	406.271924326
HMDB00401	2,8-Dihydroxyadenine	NA	Endogenous	167.044324429
HMDB00403	2-Hydroxyadenine	NA	Endogenous	151.049409807
HMDB00404	2b,3a,7a-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00405	2-Methoxyestradiol	C05302	Endogenous	302.188194698
HMDB00406	16-Ketoestradiol	C14383	Endogenous	286.15689457
HMDB00407	2-Hydroxy-3-methylbutyric acid	NA	Endogenous	118.062994186
HMDB00408	2-Methyl-3-ketovaleric acid	NA	Endogenous	130.062994186
HMDB00409	(5R)-5-Hydroxyhexanoic acid	NA	Endogenous	132.07864425
HMDB00410	3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid	NA	Endogenous	118.062994186
HMDB00411	3a,12b-Dihydroxy-5b-cholanoic acid	C17646	Endogenous	392.292659768
HMDB00412	3b,17a-Dihydroxy-5a-androstane	NA	Endogenous	292.240230268
HMDB00413	3-Hydroxydodecanedioic acid	NA	Endogenous	246.146723814
HMDB00414	1b,3a,7a-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00415	3a,6b,7b-Trihydroxy-5b-cholanoic acid	C17726	Endogenous	408.28757439
HMDB00417	3D,7D,11D-Phytanic acid	NA	Endogenous	312.302830524
HMDB00418	18-Hydroxycortisol	NA	Endogenous	378.204238692
HMDB00419	3b,7a,12a-Trihydroxy-5b-cholanoic acid	NA	Endogenous	408.28757439
HMDB00421	2,3-Dihydroxyvaleric acid	NA	Endogenous	134.057908808
HMDB00422	2-Methylglutaric acid	NA	Endogenous	146.057908808
HMDB00424	2-Hydroxydecanedioic acid	NA	Endogenous	218.115423686
HMDB00425	3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid	NA	Endogenous	268.07943211
HMDB00427	3b,7b,12a-Trihydroxy-5a-Cholanoic acid	NA	Endogenous	408.28757439
HMDB00428	3-Hydroxyglutaric acid	NA	Endogenous	148.037173366
HMDB00429	17a-Estradiol	C02537	Endogenous	272.177630012
HMDB00430	24,25-Dihydroxyvitamin D	NA	Endogenous	416.329045274
HMDB00431	16,17-Epiestriol	NA	Endogenous	288.172544634
HMDB00432	3a,7b,12a-Trihydroxy-5a-Cholanoic acid	NA	Endogenous	408.28757439
HMDB00433	1,3,7,12-Tetrahydroxycholan-24-oic acid	NA	Endogenous	424.282489012
HMDB00434	Homoveratric acid	NA	Endogenous	196.073558872
HMDB00437	3a,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid	NA	Endogenous	424.282489012
HMDB00438	3b,12a-Dihydroxy-5b-cholanoic acid	NA	Endogenous	392.292659768
HMDB00439	2-Furoylglycine	NA	Endogenous	169.037507717
HMDB00442	(S)-3-Hydroxybutyric acid	C03197	Endogenous	104.047344122
HMDB00444	3-Furoic acid	NA	Endogenous	112.016043994
HMDB00445	Alpha-Tetrasaccharide	C06768	Endogenous	691.253492885
HMDB00446	N-Alpha-acetyllysine	C12989	Endogenous	188.116092388
HMDB00447	7a,12a-Dihydroxy-3-oxo-4-cholenoic acid	C15568	Endogenous	404.256274262
HMDB00449	5a-Tetrahydrocorticosterone	NA	Endogenous	350.245709576
HMDB00450	5-Hydroxylysine	C16741	Endogenous	162.100442324
HMDB00451	cis-4-Hydroxycyclohexylacetic acid	NA	Endogenous	158.094294314
HMDB00452	L-Alpha-aminobutyric acid	C02356	Endogenous	103.063328537
HMDB00453	Delta-Hexanolactone	NA	Endogenous	114.068079564
HMDB00455	Allocystathionine	C00542	Endogenous	222.067427636
HMDB00458	5a-Androstane-3a,17a-diol	NA	Endogenous	292.240230268
HMDB00459	3-Methylcrotonylglycine	NA	Endogenous	157.073893223
HMDB00460	7-Hydroxy-3-oxocholanoic acid	NA	Endogenous	390.277009704
HMDB00462	Allantoin	C01551	Endogenous	158.043990078
HMDB00466	3-Methylindole	C08313	Endogenous	131.073499293
HMDB00467	Nutriacholic acid	NA	Endogenous	390.277009704
HMDB00468	Biopterin	C06313	Endogenous	237.086189243
HMDB00469	5-Hydroxymethyluracil	C03088	Endogenous	142.037842068
HMDB00472	5-Hydroxy-L-tryptophan	C01017	Endogenous	220.08479226
HMDB00473	6-Dimethylaminopurine	NA	Endogenous	163.085795313
HMDB00474	Butanone	C02845	Endogenous	72.057514878
HMDB00476	3-Oxo-4,6-choladienoic acid	NA	Endogenous	370.250794954
HMDB00477	7Z,10Z-Hexadecadienoic acid	NA	Endogenous	252.20893014
HMDB00478	Allodeoxycholic acid	NA	Endogenous	392.292659768
HMDB00479	3-Methylhistidine	C01152	Endogenous	169.085126611
HMDB00481	Allopurinol riboside	NA	Endogenous	268.080769514
HMDB00482	Caprylic acid	C06423	Endogenous	144.115029756
HMDB00483	5b-Cholestane-3a,7a,12a,23S,25-pentol	NA	Endogenous	452.350174646
HMDB00486	7-Hydroxyoctanoic acid	NA	Endogenous	160.109944378
HMDB00488	4E,15Z-Bilirubin IXa	NA	Endogenous	584.263484904
HMDB00489	Aspartylglycosamine	C04540	Endogenous	335.132864663
HMDB00490	Etiocholanolone	C04373	Endogenous	290.224580204
HMDB00491	3-Methyl-2-oxovaleric acid	C03465	Endogenous	130.062994186
HMDB00493	5a-Androstane-3b,17b-diol	C12525	Endogenous	292.240230268
HMDB00494	Stigmastanol	NA	Endogenous	416.401816286
HMDB00495	Androstanediol	C07632	Endogenous	292.240230268
HMDB00496	3-Methoxy-4-hydroxyphenylglycol glucuronide	C03033	Endogenous	360.10564686
HMDB00497	5,6-Dihydrouridine	NA	Endogenous	246.08518619
HMDB00498	4-Deoxyerythronic acid	NA	Endogenous	120.042258744
HMDB00499	5-Tetradecenoic acid	NA	Endogenous	226.193280076
HMDB00501	7-Ketocholesterol	NA	Endogenous	400.334130652
HMDB00502	3-Oxocholic acid	NA	Endogenous	406.271924326
HMDB00503	7a-Hydroxy-3-oxo-5b-cholanoic acid	NA	Endogenous	390.277009704
HMDB00505	Allocholic acid	NA	Endogenous	408.28757439
HMDB00506	Alpha-Muricholic acid	NA	Endogenous	408.28757439
HMDB00508	Ribitol	C00474	Endogenous	152.068473494
HMDB00509	Senecioic acid	NA	Endogenous	100.0524295
HMDB00510	Aminoadipic acid	C00956	Endogenous	161.068807845
HMDB00511	Capric acid	C01571	Endogenous	172.146329884
HMDB00512	N-Acetyl-L-phenylalanine	C03519	Endogenous	207.089543287
HMDB00513	5b-Cholestane-3a,7a,12a,23R,25-pentol	NA	Endogenous	452.350174646
HMDB00514	Allochenodeoxycholic acid	NA	Endogenous	392.292659768
HMDB00516	Beta-D-Glucose	C00221	Endogenous	180.063388116
HMDB00518	Chenodeoxycholic acid	C02528	Endogenous	392.292659768
HMDB00520	5a-Cholestane-3a,7a,12a,25-tetrol	NA	Endogenous	436.355260024
HMDB00521	5Z-Tetradecenoic acid	NA	Endogenous	226.193280076
HMDB00522	3-Methylglutaconic acid	NA	Endogenous	144.042258744
HMDB00523	5-Androstene-3b,16b,17a-triol	NA	Endogenous	306.219494826
HMDB00524	5b-Cholestane-3a,7a,12a,25-tetrol	NA	Endogenous	436.355260024
HMDB00525	5-Hydroxyhexanoic acid	NA	Endogenous	132.07864425
HMDB00526	5a-Tetrahydrocortisol	NA	Endogenous	366.240624198
HMDB00527	6a,12a-Dihydroxylithocholic acid	NA	Endogenous	408.28757439
HMDB00528	4,5-Dihydroorotic acid	C00337	Endogenous	158.03275669
HMDB00529	5-Dodecenoic acid	NA	Endogenous	198.161979948
HMDB00530	6-Ketoestriol	NA	Endogenous	302.151809192
HMDB00531	3-Hydroxyvaleric acid	NA	Endogenous	118.062994186
HMDB00532	Acetylglycine	NA	Endogenous	117.042593095
HMDB00534	Campestanol	NA	Endogenous	402.386166222
HMDB00535	Caproic acid	C01585	Endogenous	116.083729628
HMDB00536	Adenylsuccinic acid	C03794	Endogenous	463.074042955
HMDB00538	Adenosine triphosphate	C00002	Endogenous	506.995745159
HMDB00539	Arabinonic acid	C00878	Endogenous	166.047738052
HMDB00540	5-Androstene-3b,16a,17a-triol	NA	Endogenous	306.219494826
HMDB00541	7b-Hydroxy-3-oxo-5b-cholanoic acid	NA	Endogenous	402.277009704
HMDB00542	8-Hydroxyadenine	NA	Endogenous	151.049409807
HMDB00543	Benzenebutanoic acid	NA	Endogenous	164.083729628
HMDB00544	5-Hydroxymethyl-4-methyluracil	NA	Endogenous	156.053492132
HMDB00545	Chenodeoxycholic acid disulfate	NA	Endogenous	552.20628888
HMDB00548	TG(10:0/10:0/10:0)[iso]	NA	Endogenous	554.454639716
HMDB00549	Gamma-Butyrolactone	C01770	Endogenous	86.036779436
HMDB00550	5-Androstenetriol	NA	Endogenous	306.219494826
HMDB00551	Etiocholanediol	NA	Endogenous	292.240230268
HMDB00552	3-Methylglutarylcarnitine	NA	Endogenous	289.152537473
HMDB00553	3L,7D,11D-Phytanic acid	NA	Endogenous	312.302830524
HMDB00554	Dihydroandrosterone	NA	Endogenous	292.240230268
HMDB00555	3-Methyladipic acid	NA	Endogenous	160.073558872
HMDB00556	5b-Cholestane-3a,7a,12a,24,25-pentol	NA	Endogenous	452.350174646
HMDB00557	L-Alloisoleucine	NA	Endogenous	131.094628665
HMDB00558	5a-Cholestane-3a,7a,12a,23,25-pentol	NA	Endogenous	452.350174646
HMDB00559	3-Methoxy-4-hydroxyphenylethyleneglycol sulfate	NA	Endogenous	264.030373428
HMDB00560	5,8-Tetradecadienoic acid	NA	Endogenous	224.177630012
HMDB00561	B-Carotene	C02094	Endogenous	536.438201792
