experiment_id	omics_type	condition_2	cell_line	strain	entrez_id	symbol	q_value	log2fc
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	952	CD38	1	-1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	1066	CES1	0.992038	0.00718988
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	1066	CES1	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	1491	CTH	0.267902	-0.697618
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	1583	CYP11A1	1	-0.533161
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	1615	DARS	0.253428	-0.372214
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2184	FAH	0.987731	0.0128792
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2271	FH	0.712167	-0.168604
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2805	GOT1	0.932044	-0.0547851
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2806	GOT2	0.655524	0.191337
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2941	GSTA4	0.489688	-0.337529
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2944	GSTM1	0.983464	-0.0225332
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2946	GSTM2	0.779202	-0.367051
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2947	GSTM3	0.712894	-0.18374
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2948	GSTM4	0.795199	0.196572
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	2950	GSTP1	0.930123	-0.0589997
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	3939	LDHA	0.963441	-0.032975
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	3945	LDHB	0.590984	-0.213679
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	3948	LDHC	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4257	MGST1	0.75625	0.149102
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4258	MGST2	0.75912	-0.173618
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4259	MGST3	0.499907	-0.26047
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4353	MPO	1	-1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4548	MTR	0.746912	-0.156816
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4837	NNMT	0.26193	-0.721311
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4860	PNP	0.945848	0.0418347
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	4942	OAT	0.629872	-0.197823
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	5625	PRODH	1	-0.00687933
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	5723	PSPH	0.440932	-0.330074
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	5831	PYCR1	0.620062	-0.218048
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	6301	SARS	0.492535	-0.2543
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	6389	SDHA	0.931041	-0.053392
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	6390	SDHB	0.744076	-0.153962
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	6470	SHMT1	0.889372	-0.128002
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	6472	SHMT2	0.860312	-0.100734
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	8528	DDO	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	8639	AOC3	1	1.8824
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	8658	TNKS	0.953732	0.0400527
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	8659	ALDH4A1	0.8691	-0.0952999
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	9380	GRHPR	0.93459	-0.0519963
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	9446	GSTO1	0.879244	-0.0843999
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	9517	SPTLC2	0.997618	-0.00184633
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	10038	PARP2	0.803493	0.15797
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	10039	PARP3	0.933194	-0.0669328
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	10135	NAMPT	0.636787	-0.202169
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	10247	RIDA	0.24683	-0.520256
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	10606	PAICS	0.876841	-0.0871388
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	10768	AHCYL1	0.929291	0.0559666
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	10993	SDS	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	23382	AHCYL2	0.977611	-0.0227679
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	23408	SIRT5	0.479648	-0.326819
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	23411	SIRT1	0.918894	-0.0787107
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	25976	TIPARP	0.728462	-0.158189
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	27306	HPGDS	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	29920	PYCR2	0.991236	0.00894387
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	51547	SIRT7	0.419107	0.341739
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	51548	""	0.773709	0.168097
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	54625	PARP14	0.166417	0.43966
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	54938	SARS2	0.954032	-0.0783071
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	54956	PARP16	0.642074	-0.352803
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	55157	DARS2	0.935608	-0.0513282
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	55304	SPTLC3	0.551545	-0.35043
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	56267	KYAT3	0.477329	-0.390859
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	56829	ZC3HAV1	0.000883499	1.14274
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	56965	PARP6	0.963473	-0.0362982
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	57097	PARP11	0.936208	-0.0762098
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	64761	PARP12	0.582479	0.233346
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	65263	PYCR3	0.92303	-0.0690195
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	79668	PARP8	0.890147	-0.0937586
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	80150	ASRGL1	1	0.00401781
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	80351	TNKS2	0.161769	0.442171
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	81490	PTDSS2	0.589323	0.238981
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	81889	FAHD1	0.542228	-0.255425
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	83666	PARP9	0.216277	0.744987
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	84875	PARP10	0.174109	0.557255
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	93100	NAPRT	0.924776	0.0643318
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	112849	L3HYPDH	0.73221	-0.238787
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	113675	SDSL	0.877587	-0.16029
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	119391	GSTO2	0.966179	-0.0316339
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	122622	ADSSL1	0.74419	-0.260524
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	132158	GLYCTK	0.954386	0.0603574
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	165631	PARP15	1	0.596612
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	259307	IL4I1	1	1.16815
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	373156	GSTK1	0.932331	-0.0542896
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	97	ACYP1	0.49428	-0.521033
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	98	ACYP2	0.907914	-0.114811
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	128	ADH5	0.353994	-0.314607
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	142	PARP1	0.10765	-0.473414
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	143	PARP4	0.57288	0.227506
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	158	ADSL	0.420958	-0.293579
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	159	ADSS	0.23756	-0.402475
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	175	AGA	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	175	AGA	0.250678	-0.503207
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	191	AHCY	0.70817	-0.164843
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	217	ALDH2	0.205484	-0.405294
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	219	ALDH1B1	0.520401	-0.248068
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	223	ALDH9A1	0.215973	-0.402451
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	224	ALDH3A2	0.555606	-0.232978
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	314	AOC2	1	1.09746
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	440	ASNS	0.777123	-0.151042
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	445	ASS1	0.975513	-0.0238596
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	501	ALDH7A1	0.177624	-0.414655
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	683	BST1	1	-0.646742
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	875	CBS	0.951533	0.0506763
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	883	KYAT1	0.715939	-0.219014
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	952	CD38	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	1066	CES1	0.988451	0.0112609
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	1066	CES1	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	1491	CTH	0.285083	-0.754267
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	1583	CYP11A1	1	0.80977
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	1615	DARS	0.0513049	-0.555803
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2184	FAH	0.818842	-0.130964
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2271	FH	0.17443	-0.424254
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2805	GOT1	0.521515	-0.253463
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2806	GOT2	0.747388	-0.148286
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2941	GSTA4	0.666546	-0.241198
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2944	GSTM1	0.939168	-0.0666066
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2946	GSTM2	0.883208	0.235793
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2947	GSTM3	0.840786	-0.11649
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2948	GSTM4	0.203152	0.608531
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	2950	GSTP1	0.934824	-0.0544997
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	3939	LDHA	0.205352	-0.421808
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	3945	LDHB	0.550347	-0.235773
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	3948	LDHC	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4257	MGST1	0.986446	-0.0128589
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4258	MGST2	0.74348	-0.179932
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4259	MGST3	0.494707	-0.262361
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4353	MPO	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4548	MTR	0.0647219	-0.545095
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4837	NNMT	0.730909	0.379037
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4860	PNP	0.512316	0.248265
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	4942	OAT	0.0708122	-0.503554
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	5625	PRODH	1	0.245932
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	5723	PSPH	0.259594	-0.436972
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	5831	PYCR1	0.769286	-0.150037
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	6301	SARS	0.706333	-0.166601
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	6389	SDHA	0.443993	-0.275779
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	6390	SDHB	0.646755	-0.199002
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	6470	SHMT1	0.617179	-0.3145
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	6472	SHMT2	0.764749	-0.147059
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	8528	DDO	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	8639	AOC3	1	2.3595
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	8658	TNKS	0.900148	-0.0778308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	8659	ALDH4A1	0.671583	-0.190831
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	9380	GRHPR	0.96075	-0.0339072
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	9446	GSTO1	0.933034	-0.052911
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	9517	SPTLC2	0.569979	-0.227273
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	10038	PARP2	0.639541	-0.236529
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	10039	PARP3	0.496397	-0.316556
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	10135	NAMPT	0.858713	-0.0980283
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	10247	RIDA	0.252947	-0.504726
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	10606	PAICS	0.217887	-0.380762
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	10768	AHCYL1	0.590878	-0.219081
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	10993	SDS	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	23382	AHCYL2	0.563752	-0.264602
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	23408	SIRT5	0.897561	-0.0941898
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	23411	SIRT1	0.766859	-0.191197
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	25976	TIPARP	0.223322	-0.382593
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	27306	HPGDS	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	29920	PYCR2	0.649454	-0.209319
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	51547	SIRT7	0.844749	0.128629
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	51548	""	0.244016	0.444851
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	54625	PARP14	0.000883499	2.97937
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	54938	SARS2	0.992793	-0.0140079
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	54956	PARP16	0.152387	-0.717551
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	55157	DARS2	0.372126	-0.320619
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	55304	SPTLC3	0.829015	0.177188
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	56267	KYAT3	0.700878	-0.26824
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	56829	ZC3HAV1	0.000883499	2.49328
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	56965	PARP6	0.89837	0.0912377
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	57097	PARP11	0.986688	0.0178192
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	64761	PARP12	0.000883499	1.92289
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	65263	PYCR3	0.524148	-0.28086
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	79668	PARP8	0.00456786	0.794306
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	80150	ASRGL1	1	-1.22226
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	80351	TNKS2	0.281467	0.37229
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	81490	PTDSS2	0.990827	0.00936178
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	81889	FAHD1	0.365506	-0.332135
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	83666	PARP9	0.000883499	2.75554
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	84875	PARP10	0.000883499	2.15971
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	93100	NAPRT	0.894829	0.0812923
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	112849	L3HYPDH	0.773042	-0.201022
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	113675	SDSL	0.78241	0.23795
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	119391	GSTO2	0.810093	0.136907
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	122622	ADSSL1	0.845201	-0.188019
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	132158	GLYCTK	0.98795	0.0176497
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	165631	PARP15	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	259307	IL4I1	1	1.70008
htbeH3N2rna-HTBE	RNAseq	H3N2_06H	HTBE	H3	373156	GSTK1	0.763891	0.146559
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	97	ACYP1	0.995456	0.00602548
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	98	ACYP2	0.937123	0.0864665
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	128	ADH5	0.381881	-0.306474
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	142	PARP1	0.037116	-0.577857
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	143	PARP4	0.43938	0.282976
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	158	ADSL	0.78396	-0.136537
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	159	ADSS	0.434763	-0.300019
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	175	AGA	1	-1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	175	AGA	0.0153641	-1.01969
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	191	AHCY	0.991131	0.00792461
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	217	ALDH2	0.00162159	-0.803885
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	219	ALDH1B1	0.0171947	-0.638953
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	223	ALDH9A1	0.025046	-0.616183
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	224	ALDH3A2	0.0122289	-0.69138
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	314	AOC2	0.0474856	1.62995
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	440	ASNS	0.359292	-0.342895
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	445	ASS1	0.739352	-0.175211
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	501	ALDH7A1	0.0266974	-0.608258
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	683	BST1	0.167483	1.293
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	875	CBS	0.950741	-0.0538769
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	883	KYAT1	0.799539	-0.165699
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	952	CD38	1	1.797693134e+308
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	1066	CES1	0.632819	0.205929
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	1066	CES1	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	1491	CTH	0.954372	0.0749667
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	1583	CYP11A1	0.0464093	3.30886
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	1615	DARS	0.00754151	-0.684943
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2184	FAH	0.338731	0.34672
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2271	FH	0.194681	-0.41033
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2805	GOT1	0.959819	-0.0347291
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2806	GOT2	0.473741	-0.265536
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2941	GSTA4	0.915957	0.0818727
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2944	GSTM1	0.67533	0.243568
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2946	GSTM2	0.820933	0.286575
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2947	GSTM3	0.644997	0.208281
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2948	GSTM4	0.640285	0.283709
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	2950	GSTP1	0.424436	0.311824
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	3939	LDHA	0.000883499	-0.937552
htbeH3N2rna-HTBE	RNAseq	H3N2_12H	HTBE	H3	3945	LDHB	0.717496	-0.164642
