Modified.sequence	m/z	Retention time	Group	Use	RawFile	Intensity	Proteins	Charge
127.0/5.5	127.0273	5.53	""	TRUE	H5LungInf3d-1	13943	127.0/5.5	1
127.1/20.9	127.0648	20.85	(Monoisotopic)	TRUE	H5LungInf3d-1	15508	127.1/20.9	1
127.1/6.4	127.084	6.38	""	TRUE	H5LungInf3d-1	13861	127.1/6.4	1
127.1/5.1	127.0857	5.13	(Monoisotopic)	TRUE	H5LungInf3d-1	14808	127.1/5.1	1
128.0/9.9	127.9955	9.9	""	TRUE	H5LungInf3d-1	13483	128.0/9.9	1
128.1/9.5	128.117	9.49	""	TRUE	H5LungInf3d-1	17585	128.1/9.5	1
129.1/20.8	129.0803	20.77	(Monoisotopic)	TRUE	H5LungInf3d-1	8411	129.1/20.8	1
130.0/10.0	130.0499	10.01	""	TRUE	H5LungInf3d-1	88340	130.0/10.0	1
130.1/5.3	130.0636	5.29	""	TRUE	H5LungInf3d-1	1610	130.1/5.3	1
130.1/9.4	130.0639	9.39	""	TRUE	H5LungInf3d-1	7917	130.1/9.4	1
130.1/9.6	130.1112	9.55	""	TRUE	H5LungInf3d-1	6735	130.1/9.6	1
130.1/20.9	130.112	20.85	""	TRUE	H5LungInf3d-1	665	130.1/20.9	1
130.2/2.5	130.1571	2.49	(Monoisotopic)	TRUE	H5LungInf3d-1	21093	130.2/2.5	1
132.1/10.0	132.0532	9.96	(Monoisotopic)	TRUE	H5LungInf3d-1	193010	132.1/10.0	1
132.1/10.3	132.0547	10.3	""	TRUE	H5LungInf3d-1	9594	132.1/10.3	1
132.1/9.4	132.0789	9.39	""	TRUE	H5LungInf3d-1	3469	132.1/9.4	1
133.1/4.8	133.0538	4.75	(Monoisotopic)	TRUE	H5LungInf3d-1	3404	133.1/4.8	1
134.0/9.4	134.0187	9.39	""	TRUE	H5LungInf3d-1	9399	134.0/9.4	1
134.1/3.6	134.0932	3.58	""	TRUE	H5LungInf3d-1	416	134.1/3.6	1
134.1/9.5	134.0944	9.53	""	TRUE	H5LungInf3d-1	6208	134.1/9.5	1
135.0/20.9	134.9866	20.85	(Monoisotopic)	TRUE	H5LungInf3d-1	20351	135.0/20.9	1
135.0/0.1	134.9869	0.06	(Monoisotopic)	TRUE	H5LungInf3d-1	31178	135.0/0.1	1
135.0/0.7	134.987	0.66	(Monoisotopic)	TRUE	H5LungInf3d-1	23697	135.0/0.7	1
135.0/7.6	134.987	7.65	""	TRUE	H5LungInf3d-1	0	135.0/7.6	1
135.0/5.3	134.9875	5.3	""	TRUE	H5LungInf3d-1	9902	135.0/5.3	1
135.1/3.9	135.0559	3.94	""	TRUE	H5LungInf3d-1	32459	135.1/3.9	1
136.0/9.3	135.9974	9.25	""	TRUE	H5LungInf3d-1	52	136.0/9.3	1
136.0/23.4	136.0208	23.45	""	TRUE	H5LungInf3d-1	10220	136.0/23.4	1
136.0/23.8	136.021	23.81	""	TRUE	H5LungInf3d-1	10978	136.0/23.8	1
136.0/10.0	136.0251	10.02	""	TRUE	H5LungInf3d-1	5455	136.0/10.0	1
136.0/7.6	136.0348	7.6	""	TRUE	H5LungInf3d-1	496	136.0/7.6	1
136.0/21.0	136.0365	20.97	(Monoisotopic)	TRUE	H5LungInf3d-1	13405	136.0/21.0	1
136.1/8.6	136.0606	8.56	""	TRUE	H5LungInf3d-1	3641	136.1/8.6	1
136.1/5.3	136.0608	5.3	(Monoisotopic)	TRUE	H5LungInf3d-1	12437	136.1/5.3	1
136.6/20.9	136.5522	20.85	""	TRUE	H5LungInf3d-1	8811	136.6/20.9	1
136.9/10.8	136.9131	10.79	""	TRUE	H5LungInf3d-1	0	136.9/10.8	1
100.1/2.9	100.0964	2.86	""	TRUE	H5LungInf3d-2	5300	100.1/2.9	1
101.1/0.5	101.0543	0.47	""	TRUE	H5LungInf3d-2	15588	101.1/0.5	1
101.1/23.1	101.0543	23.08	""	TRUE	H5LungInf3d-2	2794	101.1/23.1	1
101.1/5.0	101.0693	5.02	""	TRUE	H5LungInf3d-2	6152	101.1/5.0	1
104.0/0.4	103.9642	0.38	""	TRUE	H5LungInf3d-2	84	104.0/0.4	1
104.1/7.1	104.0884	7.08	""	TRUE	H5LungInf3d-2	613	104.1/7.1	1
104.1/4.8	104.0904	4.75	(Monoisotopic)	TRUE	H5LungInf3d-2	295565	104.1/4.8	1
104.1/6.8	104.0906	6.84	(Monoisotopic)	TRUE	H5LungInf3d-2	890328	104.1/6.8	1
104.1/3.7	104.0906	3.67	(Monoisotopic)	TRUE	H5LungInf3d-2	2689	104.1/3.7	1
104.1/4.5	104.1074	4.49	""	TRUE	H5LungInf3d-2	1048	104.1/4.5	1
104.1/0.4	104.1154	0.38	""	TRUE	H5LungInf3d-2	1599	104.1/0.4	1
105.0/4.9	104.9753	4.93	""	TRUE	H5LungInf3d-2	407	105.0/4.9	1
105.0/8.7	104.9762	8.74	""	TRUE	H5LungInf3d-2	190176	105.0/8.7	1
105.0/8.7	104.9918	8.68	""	TRUE	H5LungInf3d-2	126531	105.0/8.7	1
105.0/8.2	104.9919	8.2	""	TRUE	H5LungInf3d-2	62413	105.0/8.2	1
105.1/6.8	105.0938	6.85	""	TRUE	H5LungInf3d-2	107	105.1/6.8	1
106.9/9.0	106.9349	9.03	""	TRUE	H5LungInf3d-2	0	106.9/9.0	1
108.0/9.8	107.9928	9.84	""	TRUE	H5LungInf3d-2	6033	108.0/9.8	1
112.9/9.2	112.8754	9.24	""	TRUE	H5LungInf3d-2	0	112.9/9.2	1
113.1/20.8	113.0893	20.77	""	TRUE	H5LungInf3d-2	18752	113.1/20.8	1
113.1/20.9	113.0896	20.94	(Monoisotopic)	TRUE	H5LungInf3d-2	31644	113.1/20.9	1
114.1/4.9	114.0902	4.93	""	TRUE	H5LungInf3d-2	9702	114.1/4.9	1
114.1/4.4	114.0907	4.4	""	TRUE	H5LungInf3d-2	39729	114.1/4.4	1
115.1/5.1	115.0859	5.13	""	TRUE	H5LungInf3d-2	6876	115.1/5.1	1
115.1/3.3	115.0871	3.31	""	TRUE	H5LungInf3d-2	6282	115.1/3.3	1
116.0/9.4	116.0136	9.39	""	TRUE	H5LungInf3d-2	24	116.0/9.4	1
116.1/9.9	116.0505	9.93	""	TRUE	H5LungInf3d-2	7712	116.1/9.9	1
118.1/9.5	118.066	9.48	(Monoisotopic)	TRUE	H5LungInf3d-2	95424	118.1/9.5	1
118.1/10.3	118.0664	10.3	""	TRUE	H5LungInf3d-2	84	118.1/10.3	1
118.1/7.3	118.1002	7.25	""	TRUE	H5LungInf3d-2	16	118.1/7.3	1
118.1/5.5	118.1027	5.49	(Monoisotopic)	TRUE	H5LungInf3d-2	69098	118.1/5.5	1
118.1/3.4	118.1032	3.4	""	TRUE	H5LungInf3d-2	60899	118.1/3.4	1
118.1/6.6	118.1032	6.55	""	TRUE	H5LungInf3d-2	47824	118.1/6.6	1
118.1/22.7	118.1217	22.66	""	TRUE	H5LungInf3d-2	14988	118.1/22.7	1
118.1/10.9	118.1219	10.89	""	TRUE	H5LungInf3d-2	2863	118.1/10.9	1
118.1/5.1	118.122	5.12	""	TRUE	H5LungInf3d-2	48219	118.1/5.1	1
118.1/0.4	118.1317	0.38	(Monoisotopic)	TRUE	H5LungInf3d-2	47197	118.1/0.4	1
119.1/3.9	119.0653	3.94	""	TRUE	H5LungInf3d-2	41200	119.1/3.9	1
120.1/9.3	120.0605	9.3	(Monoisotopic)	TRUE	H5LungInf3d-2	3976	120.1/9.3	1
122.1/23.1	122.0509	23.09	""	TRUE	H5LungInf3d-2	8314	122.1/23.1	1
122.1/1.1	122.0763	1.12	(Monoisotopic)	TRUE	H5LungInf3d-2	28793	122.1/1.1	1
122.1/6.6	122.0764	6.55	""	TRUE	H5LungInf3d-2	1455	122.1/6.6	1
122.9/9.1	122.9041	9.12	""	TRUE	H5LungInf3d-2	0	122.9/9.1	1
123.0/9.4	123.0332	9.4	""	TRUE	H5LungInf3d-2	43	123.0/9.4	1
123.0/4.8	123.0343	4.84	""	TRUE	H5LungInf3d-2	119465	123.0/4.8	1
123.1/0.1	123.0789	0.06	""	TRUE	H5LungInf3d-2	11529	123.1/0.1	1
124.0/9.7	124.0036	9.71	""	TRUE	H5LungInf3d-2	7622	124.0/9.7	1
124.1/0.1	124.0636	0.07	(Monoisotopic)	TRUE	H5LungInf3d-2	12112	124.1/0.1	1
124.1/6.3	124.0636	6.25	""	TRUE	H5LungInf3d-2	3549	124.1/6.3	1
124.1/2.2	124.0636	2.19	""	TRUE	H5LungInf3d-2	622	124.1/2.2	1
124.1/0.6	124.0637	0.65	""	TRUE	H5LungInf3d-2	6653	124.1/0.6	1
124.1/23.1	124.0638	23.1	(Monoisotopic)	TRUE	H5LungInf3d-2	3615	124.1/23.1	1
124.1/21.7	124.0639	21.74	(Monoisotopic)	TRUE	H5LungInf3d-2	2970	124.1/21.7	1
124.1/18.4	124.0639	18.44	(Monoisotopic)	TRUE	H5LungInf3d-2	204	124.1/18.4	1
124.1/9.4	124.0865	9.37	(Monoisotopic)	TRUE	H5LungInf3d-2	3608	124.1/9.4	1
126.0/9.9	125.999	9.88	(Monoisotopic)	TRUE	H5LungInf3d-2	276841	126.0/9.9	1
126.0/10.5	126.0218	10.46	""	TRUE	H5LungInf3d-2	10138	126.0/10.5	1
126.1/5.2	126.0802	5.22	""	TRUE	H5LungInf3d-2	38895	126.1/5.2	1
126.1/5.9	126.0811	5.93	""	TRUE	H5LungInf3d-2	160	126.1/5.9	1
126.1/21.4	126.0812	21.41	""	TRUE	H5LungInf3d-2	22918	126.1/21.4	1
126.1/6.9	126.0814	6.85	""	TRUE	H5LungInf3d-2	649	126.1/6.9	1
126.1/7.1	126.0815	7.13	""	TRUE	H5LungInf3d-2	577	126.1/7.1	1
126.1/0.4	126.0817	0.38	(Monoisotopic)	TRUE	H5LungInf3d-2	72692	126.1/0.4	1
126.1/9.5	126.0819	9.53	""	TRUE	H5LungInf3d-2	24177	126.1/9.5	1
126.1/1.2	126.1011	1.21	(Monoisotopic)	TRUE	H5LungInf3d-2	37028	126.1/1.2	1
127.0/5.5	127.0273	5.53	""	TRUE	H5LungInf3d-2	19173	127.0/5.5	1
127.1/20.9	127.0648	20.85	(Monoisotopic)	TRUE	H5LungInf3d-2	17633	127.1/20.9	1
127.1/6.4	127.084	6.38	""	TRUE	H5LungInf3d-2	28639	127.1/6.4	1
127.1/5.1	127.0857	5.13	(Monoisotopic)	TRUE	H5LungInf3d-2	20440	127.1/5.1	1
128.0/9.9	127.9955	9.9	""	TRUE	H5LungInf3d-2	11165	128.0/9.9	1
128.1/9.5	128.117	9.49	""	TRUE	H5LungInf3d-2	21343	128.1/9.5	1
129.1/20.8	129.0803	20.77	(Monoisotopic)	TRUE	H5LungInf3d-2	9370	129.1/20.8	1
130.0/10.0	130.0499	10.01	""	TRUE	H5LungInf3d-2	106758	130.0/10.0	1
130.1/5.3	130.0636	5.29	""	TRUE	H5LungInf3d-2	2483	130.1/5.3	1
130.1/9.4	130.0639	9.39	""	TRUE	H5LungInf3d-2	5575	130.1/9.4	1
130.1/9.6	130.1112	9.55	""	TRUE	H5LungInf3d-2	7836	130.1/9.6	1
130.1/20.9	130.112	20.85	""	TRUE	H5LungInf3d-2	274	130.1/20.9	1
130.2/2.5	130.1571	2.49	(Monoisotopic)	TRUE	H5LungInf3d-2	9844	130.2/2.5	1
132.1/10.0	132.0532	9.96	(Monoisotopic)	TRUE	H5LungInf3d-2	172206	132.1/10.0	1
132.1/10.3	132.0547	10.3	""	TRUE	H5LungInf3d-2	7345	132.1/10.3	1
132.1/9.4	132.0789	9.39	""	TRUE	H5LungInf3d-2	3828	132.1/9.4	1
133.1/4.8	133.0538	4.75	(Monoisotopic)	TRUE	H5LungInf3d-2	13666	133.1/4.8	1
134.0/9.4	134.0187	9.39	""	TRUE	H5LungInf3d-2	10866	134.0/9.4	1
134.1/3.6	134.0932	3.58	""	TRUE	H5LungInf3d-2	307	134.1/3.6	1
134.1/9.5	134.0944	9.53	""	TRUE	H5LungInf3d-2	4250	134.1/9.5	1
135.0/20.9	134.9866	20.85	(Monoisotopic)	TRUE	H5LungInf3d-2	20775	135.0/20.9	1
135.0/0.1	134.9869	0.06	(Monoisotopic)	TRUE	H5LungInf3d-2	21447	135.0/0.1	1
135.0/0.7	134.987	0.66	(Monoisotopic)	TRUE	H5LungInf3d-2	19243	135.0/0.7	1
135.0/7.6	134.987	7.65	""	TRUE	H5LungInf3d-2	73	135.0/7.6	1
135.0/5.3	134.9875	5.3	""	TRUE	H5LungInf3d-2	9483	135.0/5.3	1
135.1/3.9	135.0559	3.94	""	TRUE	H5LungInf3d-2	22204	135.1/3.9	1
136.0/9.3	135.9974	9.25	""	TRUE	H5LungInf3d-2	0	136.0/9.3	1
136.0/23.4	136.0208	23.45	""	TRUE	H5LungInf3d-2	10382	136.0/23.4	1
136.0/23.8	136.021	23.81	""	TRUE	H5LungInf3d-2	11496	136.0/23.8	1
136.0/10.0	136.0251	10.02	""	TRUE	H5LungInf3d-2	5606	136.0/10.0	1
136.0/7.6	136.0348	7.6	""	TRUE	H5LungInf3d-2	110	136.0/7.6	1
136.0/21.0	136.0365	20.97	(Monoisotopic)	TRUE	H5LungInf3d-2	14062	136.0/21.0	1
136.1/8.6	136.0606	8.56	""	TRUE	H5LungInf3d-2	5664	136.1/8.6	1
136.1/5.3	136.0608	5.3	(Monoisotopic)	TRUE	H5LungInf3d-2	15744	136.1/5.3	1
136.6/20.9	136.5522	20.85	""	TRUE	H5LungInf3d-2	7851	136.6/20.9	1
136.9/10.8	136.9131	10.79	""	TRUE	H5LungInf3d-2	0	136.9/10.8	1
100.1/2.9	100.0964	2.86	""	TRUE	H5LungInf3d-3	5834	100.1/2.9	1
101.1/0.5	101.0543	0.47	""	TRUE	H5LungInf3d-3	10046	101.1/0.5	1
101.1/23.1	101.0543	23.08	""	TRUE	H5LungInf3d-3	2344	101.1/23.1	1
101.1/5.0	101.0693	5.02	""	TRUE	H5LungInf3d-3	5904	101.1/5.0	1
104.0/0.4	103.9642	0.38	""	TRUE	H5LungInf3d-3	221	104.0/0.4	1
104.1/7.1	104.0884	7.08	""	TRUE	H5LungInf3d-3	415	104.1/7.1	1
104.1/4.8	104.0904	4.75	(Monoisotopic)	TRUE	H5LungInf3d-3	283660	104.1/4.8	1
104.1/6.8	104.0906	6.84	(Monoisotopic)	TRUE	H5LungInf3d-3	743182	104.1/6.8	1
104.1/3.7	104.0906	3.67	(Monoisotopic)	TRUE	H5LungInf3d-3	4249	104.1/3.7	1
104.1/4.5	104.1074	4.49	""	TRUE	H5LungInf3d-3	1762	104.1/4.5	1
104.1/0.4	104.1154	0.38	""	TRUE	H5LungInf3d-3	3473	104.1/0.4	1
105.0/4.9	104.9753	4.93	""	TRUE	H5LungInf3d-3	300	105.0/4.9	1
105.0/8.7	104.9762	8.74	""	TRUE	H5LungInf3d-3	163030	105.0/8.7	1
105.0/8.7	104.9918	8.68	""	TRUE	H5LungInf3d-3	117007	105.0/8.7	1
105.0/8.2	104.9919	8.2	""	TRUE	H5LungInf3d-3	53409	105.0/8.2	1
105.1/6.8	105.0938	6.85	""	TRUE	H5LungInf3d-3	128	105.1/6.8	1
106.9/9.0	106.9349	9.03	""	TRUE	H5LungInf3d-3	0	106.9/9.0	1
108.0/9.8	107.9928	9.84	""	TRUE	H5LungInf3d-3	3770	108.0/9.8	1
112.9/9.2	112.8754	9.24	""	TRUE	H5LungInf3d-3	0	112.9/9.2	1
113.1/20.8	113.0893	20.77	""	TRUE	H5LungInf3d-3	19095	113.1/20.8	1
113.1/20.9	113.0896	20.94	(Monoisotopic)	TRUE	H5LungInf3d-3	29107	113.1/20.9	1
114.1/4.9	114.0902	4.93	""	TRUE	H5LungInf3d-3	8944	114.1/4.9	1
114.1/4.4	114.0907	4.4	""	TRUE	H5LungInf3d-3	32761	114.1/4.4	1
115.1/5.1	115.0859	5.13	""	TRUE	H5LungInf3d-3	7358	115.1/5.1	1
115.1/3.3	115.0871	3.31	""	TRUE	H5LungInf3d-3	10273	115.1/3.3	1
116.0/9.4	116.0136	9.39	""	TRUE	H5LungInf3d-3	29	116.0/9.4	1
116.1/9.9	116.0505	9.93	""	TRUE	H5LungInf3d-3	7952	116.1/9.9	1
118.1/9.5	118.066	9.48	(Monoisotopic)	TRUE	H5LungInf3d-3	63361	118.1/9.5	1
118.1/10.3	118.0664	10.3	""	TRUE	H5LungInf3d-3	113	118.1/10.3	1
118.1/7.3	118.1002	7.25	""	TRUE	H5LungInf3d-3	75	118.1/7.3	1
118.1/5.5	118.1027	5.49	(Monoisotopic)	TRUE	H5LungInf3d-3	68822	118.1/5.5	1
118.1/3.4	118.1032	3.4	""	TRUE	H5LungInf3d-3	98666	118.1/3.4	1
118.1/6.6	118.1032	6.55	""	TRUE	H5LungInf3d-3	52398	118.1/6.6	1
118.1/22.7	118.1217	22.66	""	TRUE	H5LungInf3d-3	15826	118.1/22.7	1
118.1/10.9	118.1219	10.89	""	TRUE	H5LungInf3d-3	2937	118.1/10.9	1
118.1/5.1	118.122	5.12	""	TRUE	H5LungInf3d-3	43896	118.1/5.1	1
118.1/0.4	118.1317	0.38	(Monoisotopic)	TRUE	H5LungInf3d-3	41339	118.1/0.4	1
119.1/3.9	119.0653	3.94	""	TRUE	H5LungInf3d-3	28773	119.1/3.9	1
120.1/9.3	120.0605	9.3	(Monoisotopic)	TRUE	H5LungInf3d-3	3404	120.1/9.3	1
122.1/23.1	122.0509	23.09	""	TRUE	H5LungInf3d-3	8078	122.1/23.1	1
122.1/1.1	122.0763	1.12	(Monoisotopic)	TRUE	H5LungInf3d-3	22492	122.1/1.1	1
122.1/6.6	122.0764	6.55	""	TRUE	H5LungInf3d-3	855	122.1/6.6	1
122.9/9.1	122.9041	9.12	""	TRUE	H5LungInf3d-3	49	122.9/9.1	1
123.0/9.4	123.0332	9.4	""	TRUE	H5LungInf3d-3	0	123.0/9.4	1
123.0/4.8	123.0343	4.84	""	TRUE	H5LungInf3d-3	77229	123.0/4.8	1
123.1/0.1	123.0789	0.06	""	TRUE	H5LungInf3d-3	9503	123.1/0.1	1
124.0/9.7	124.0036	9.71	""	TRUE	H5LungInf3d-3	5903	124.0/9.7	1
124.1/0.1	124.0636	0.07	(Monoisotopic)	TRUE	H5LungInf3d-3	8196	124.1/0.1	1
124.1/6.3	124.0636	6.25	""	TRUE	H5LungInf3d-3	3431	124.1/6.3	1
124.1/2.2	124.0636	2.19	""	TRUE	H5LungInf3d-3	623	124.1/2.2	1
124.1/0.6	124.0637	0.65	""	TRUE	H5LungInf3d-3	7210	124.1/0.6	1
124.1/23.1	124.0638	23.1	(Monoisotopic)	TRUE	H5LungInf3d-3	3292	124.1/23.1	1
124.1/21.7	124.0639	21.74	(Monoisotopic)	TRUE	H5LungInf3d-3	2311	124.1/21.7	1
124.1/18.4	124.0639	18.44	(Monoisotopic)	TRUE	H5LungInf3d-3	216	124.1/18.4	1
124.1/9.4	124.0865	9.37	(Monoisotopic)	TRUE	H5LungInf3d-3	1331	124.1/9.4	1
126.0/9.9	125.999	9.88	(Monoisotopic)	TRUE	H5LungInf3d-3	154818	126.0/9.9	1
126.0/10.5	126.0218	10.46	""	TRUE	H5LungInf3d-3	5897	126.0/10.5	1
126.1/5.2	126.0802	5.22	""	TRUE	H5LungInf3d-3	32886	126.1/5.2	1
126.1/5.9	126.0811	5.93	""	TRUE	H5LungInf3d-3	399	126.1/5.9	1
126.1/21.4	126.0812	21.41	""	TRUE	H5LungInf3d-3	22167	126.1/21.4	1
126.1/6.9	126.0814	6.85	""	TRUE	H5LungInf3d-3	635	126.1/6.9	1
126.1/7.1	126.0815	7.13	""	TRUE	H5LungInf3d-3	246	126.1/7.1	1
126.1/0.4	126.0817	0.38	(Monoisotopic)	TRUE	H5LungInf3d-3	57880	126.1/0.4	1
126.1/9.5	126.0819	9.53	""	TRUE	H5LungInf3d-3	31088	126.1/9.5	1
126.1/1.2	126.1011	1.21	(Monoisotopic)	TRUE	H5LungInf3d-3	39012	126.1/1.2	1
127.0/5.5	127.0273	5.53	""	TRUE	H5LungInf3d-3	19741	127.0/5.5	1
127.1/20.9	127.0648	20.85	(Monoisotopic)	TRUE	H5LungInf3d-3	17132	127.1/20.9	1
127.1/6.4	127.084	6.38	""	TRUE	H5LungInf3d-3	23793	127.1/6.4	1
127.1/5.1	127.0857	5.13	(Monoisotopic)	TRUE	H5LungInf3d-3	17592	127.1/5.1	1
128.0/9.9	127.9955	9.9	""	TRUE	H5LungInf3d-3	5950	128.0/9.9	1
128.1/9.5	128.117	9.49	""	TRUE	H5LungInf3d-3	18071	128.1/9.5	1
129.1/20.8	129.0803	20.77	(Monoisotopic)	TRUE	H5LungInf3d-3	8768	129.1/20.8	1
130.0/10.0	130.0499	10.01	""	TRUE	H5LungInf3d-3	109876	130.0/10.0	1
130.1/5.3	130.0636	5.29	""	TRUE	H5LungInf3d-3	2356	130.1/5.3	1
130.1/9.4	130.0639	9.39	""	TRUE	H5LungInf3d-3	9121	130.1/9.4	1
130.1/9.6	130.1112	9.55	""	TRUE	H5LungInf3d-3	7903	130.1/9.6	1
130.1/20.9	130.112	20.85	""	TRUE	H5LungInf3d-3	623	130.1/20.9	1
